a_id,a_name,b_id,b_name,country,dist_m
seed-1477,Klub Igels,seed-1478,Severnaya Stena Petrogradskaya Skalodrom,RU,0
seed-1477,Klub Igels,seed-1479,Skalodrom Tramontana,RU,0
seed-1478,Severnaya Stena Petrogradskaya Skalodrom,seed-1479,Skalodrom Tramontana,RU,0
seed-1480,Balkan Climbing,seed-1481,Bons - Europe climbing center,BG,0
seed-1480,Balkan Climbing,seed-1482,Climb Academy,BG,0
seed-1480,Balkan Climbing,seed-1483,Climbing and mountaineering NSA,BG,0
seed-1480,Balkan Climbing,seed-1485,Momentum Indoor Climbing Sofia,BG,0
seed-1481,Bons - Europe climbing center,seed-1482,Climb Academy,BG,0
seed-1481,Bons - Europe climbing center,seed-1483,Climbing and mountaineering NSA,BG,0
seed-1481,Bons - Europe climbing center,seed-1485,Momentum Indoor Climbing Sofia,BG,0
seed-1482,Climb Academy,seed-1483,Climbing and mountaineering NSA,BG,0
seed-1482,Climb Academy,seed-1485,Momentum Indoor Climbing Sofia,BG,0
seed-1483,Climbing and mountaineering NSA,seed-1485,Momentum Indoor Climbing Sofia,BG,0
seed-1532,Extrema Aventura,seed-1533,Norte Extremo,CO,0
seed-1561,Boulder,seed-1562,Cueva de Escalada Alain,VE,0
seed-1561,Boulder,seed-1563,Psicoblock En Piscina,VE,0
seed-1562,Cueva de Escalada Alain,seed-1563,Psicoblock En Piscina,VE,0
seed-1827,Mizu Climbing,seed-1828,Climberland,HK,60
seed-1836,Butterfly Climbing Gym,seed-1837,Urban Stone Climbing Gym,HK,0
